date,value
5/9/16,1201
5/10/16,2329
5/11/16,1716
5/12/16,10539
5/13/16,6933
5/14/16,3127
5/15/16,2927
5/16/16,2591
5/17/16,3403
5/18/16,5410
5/19/16,19736
5/20/16,17491
5/21/16,13370
5/22/16,13158
5/23/16,13887
5/24/16,15336
5/25/16,14779
5/26/16,18060
5/27/16,19997
5/28/16,19044
5/29/16,20325
5/30/16,16607
5/31/16,16616
6/1/16,13007
6/2/16,10329
6/3/16,10155
6/4/16,7431
6/5/16,16031
6/6/16,16621
6/7/16,18335
6/8/16,18072
6/9/16,18139
6/10/16,17087
6/11/16,16098
6/12/16,16147
6/13/16,17570
6/14/16,19395
6/15/16,18584
6/16/16,17628
6/17/16,21691
6/18/16,21681
6/19/16,19204
6/20/16,28508
6/21/16,26805
6/22/16,21424
6/23/16,19820
6/24/16,19230
6/25/16,21923
6/26/16,22685
6/27/16,24278
6/28/16,21423
6/29/16,27734
6/30/16,26696
7/1/16,28372
7/2/16,26393
7/3/16,27011
7/4/16,24236
7/5/16,23843
7/6/16,24374
7/7/16,28507
7/8/16,31184
7/9/16,27404
7/10/16,26079
7/11/16,20339
7/12/16,21510
7/13/16,20391
7/14/16,23278
7/15/16,22815
7/16/16,20261
7/17/16,20331
7/18/16,19703
7/19/16,15445
7/20/16,22046
7/21/16,27290
7/22/16,28662
7/23/16,25053
7/24/16,19733
7/25/16,25646
7/26/16,19637
7/27/16,23587
7/28/16,25719
7/29/16,21667
7/30/16,16002
7/31/16,16223
8/1/16,20947
8/2/16,20345
8/3/16,24118
8/4/16,24951
8/5/16,27880
8/6/16,20900
8/7/16,23536
8/8/16,24471
8/9/16,24828
8/10/16,31583
8/11/16,30393
8/12/16,29488
8/13/16,26206
8/14/16,29686
8/15/16,32229
8/16/16,34396
8/17/16,43003
8/18/16,35206
8/19/16,32362
8/20/16,37583
8/21/16,36559
8/22/16,36701
8/23/16,32726
8/24/16,29315
8/25/16,32786
8/26/16,35489
8/27/16,36366
8/28/16,33765
8/29/16,36915
8/30/16,39619
8/31/16,38173
9/1/16,40709
9/2/16,37609
9/3/16,30250
9/4/16,36077
9/5/16,35320
9/6/16,39098
9/7/16,43401
9/8/16,40258
9/9/16,44787
9/10/16,44586
9/11/16,39262
9/12/16,42667
9/13/16,49746
9/14/16,43645
9/15/16,38780
9/16/16,36125
9/17/16,31797
9/18/16,32304
9/19/16,36840
9/20/16,37441
9/21/16,38492
9/22/16,38324
9/23/16,44985
9/24/16,37708
9/25/16,39081
9/26/16,41089
9/27/16,41296
9/28/16,53158
9/29/16,70669
9/30/16,58802
10/1/16,49179
10/2/16,44043
10/3/16,32660
10/4/16,41797
10/5/16,39348
10/6/16,23874
10/7/16,25963
10/8/16,23848
10/9/16,23573
10/10/16,27459
10/11/16,27601
10/12/16,26521
10/13/16,24865
10/14/16,24934
10/15/16,20609
10/16/16,22301
10/17/16,26623
10/18/16,25319
10/19/16,29076
